Fantastic Mr, Fox;Animation;Adventure;Comedy;87;66
C,R,A,Z,Y,;Comedy;Drama;;129;64
Tôkyô goddofâzâzu;Animation;Adventure;Comedy;90;58
Les choristes;Comedy;Drama;Music;97;79
Iron Man;Action;Adventure;Sci-Fi;126;62
Shaun of the Dead;Comedy;Horror;;99;60
Kal Ho Naa Ho;Comedy;Drama;Musical;186;79
Gegen die Wand;Drama;Romance;;121;62
Mystic River;Crime;Drama;Mystery;138;66
Harry Potter and the Prisoner of Azkaban;Adventure;Family;Fantasy;142;65
Ying xiong;Action;Adventure;History;120;67
Hable con ella;Drama;Mystery;Romance;112;68
No Man's Land;Comedy;Drama;War;98;66
Cowboy Bebop: Tengoku no tobira;Animation;Action;Crime;115;48
The Bourne Identity;Action;Mystery;Thriller;119;54
Nueve reinas;Crime;Drama;Thriller;114;63
Children of Men;Adventure;Drama;Sci-Fi;109;66
Almost Famous;Adventure;Comedy;Drama;122;71
Mulholland Dr,;Drama;Mystery;Thriller;147;67
Toy Story 2;Animation;Adventure;Comedy;92;70
Boogie Nights;Drama;;;155;67
Mimi wo sumaseba;Animation;Drama;Family;111;59
Once Were Warriors;Crime;Drama;;102;61
True Romance;Crime;Drama;Romance;119;79
Trois couleurs: Bleu;Drama;Music;Mystery;94;67
J?b? ninp?chô;Animation;Action;Adventure;94;79
Carlito's Way;Crime;Drama;Thriller;144;51
Edward Scissorhands;Drama;Fantasy;Romance;105;58
My Left Foot: The Story of Christy Brown;Biography;Drama;;103;77
Crimes and Misdemeanors;Comedy;Drama;;104;61
The Untouchables;Crime;Drama;Thriller;119;62
Hannah and Her Sisters;Comedy;Drama;;107;71
Brazil;Drama;Sci-Fi;;132;66
This Is Spinal Tap;Comedy;Music;;82;73
A Christmas Story;Comedy;Family;;93;61
The Blues Brothers;Action;Adventure;Comedy;133;79
Manhattan;Comedy;Drama;Romance;96;66
All That Jazz;Drama;Music;Musical;123;57
Dawn of the Dead;Horror;Thriller;;127;56
All the President's Men;Biography;Drama;History;138;66
La monta?a sagrada;Adventure;Drama;Fantasy;114;60
Amarcord;Comedy;Drama;;123;79
Le charme discret de la bourgeoisie;Comedy;;;102;73
Aguirre, der Zorn Gottes;Action;Adventure;Biography;95;79
Harold and Maude;Comedy;Drama;Romance;91;49
Patton;Biography;Drama;War;172;72
The Wild Bunch;Action;Adventure;Western;145;77
Night of the Living Dead;Horror;Thriller;;96;70
The Lion in Winter;Biography;Drama;History;134;79
In the Heat of the Night;Crime;Drama;Mystery;110;59
Charade;Comedy;Mystery;Romance;113;66
The Manchurian Candidate;Drama;Thriller;;126;74
Spartacus;Adventure;Biography;Drama;197;69
L'avventura;Drama;Mystery;Romance;144;79
Hiroshima mon amour;Drama;Romance;;90;79
The Ten Commandments;Adventure;Drama;;220;79
The Searchers;Adventure;Drama;Western;119;74
East of Eden;Drama;;;118;57
High Noon;Drama;Thriller;Western;85;70
Strangers on a Train;Crime;Film-Noir;Thriller;101;70
Harvey;Comedy;Drama;Fantasy;104;79
Miracle on 34th Street;Comedy;Drama;Family;96;70
Notorious;Drama;Film-Noir;Romance;102;79
The Big Sleep;Crime;Film-Noir;Mystery;114;79
The Lost Weekend;Drama;Film-Noir;;101;79
The Philadelphia Story;Comedy;Romance;;112;76
His Girl Friday;Comedy;Drama;Romance;92;79
The Adventures of Robin Hood;Action;Adventure;Romance;102;77
A Night at the Opera;Comedy;Music;Musical;96;79
King Kong;Adventure;Horror;Sci-Fi;100;71
Freaks;Drama;Horror;;64;63
Nosferatu;Fantasy;Horror;;94;79
The Gentlemen;Action;Comedy;Crime;113;78
Raazi;Action;Drama;Thriller;138;78
Sound of Metal;Drama;Music;;120;64
Forushande;Drama;;;124;66
Dunkirk;Action;Drama;History;106;73
